71,,,PCKR12_DFI_RESPONSABLE RPR,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Responsable RPR,
68,,,PCKR12_DFI_RéASSURANCE,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Réassurance,
677,Ce profil donne le réle UMX PCKR12_DFI_Résultats Tec Com contenant les responsabilités suivantes:,,PCKR12_DFI_RéSULTATS TEC COM,P_Oracle R12_Comptabilité Pacifica-Production-DFI Résultats Tec Com,
704,Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_SINISTRE contenant les responsabili,,PCKR12_PACIFICA_ASSISTANT_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION SINISTRE,
73,,,PCKR12_PACIFICA_RESPONSABLE_DIRECTION_FINANCIERE,P_Oracle R12_Comptabilité Pacifica-Recette-Responsable DIRECTION FINANCIERE,
631,Unité de rattachement : PACIFICA,,PCKR12_PACIFICA_RESPONSABLE_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Pacifica-Production-Responsable DIRECTION SINISTRES,
679,Ce profil donne le réle UMX PCKR12_Responsable_comptabilité_sociale contenant les responsabilités s,,PCKR12_RESPONSABLE_COMPTABILITé_SOCIALE,P_Oracle R12_Comptabilité Pacifica-Production-Responsable Comptabilité Sociale,
64,,,PCK_CAAS_CSP_FACTURATION,P_Oracle R12_Comptabilité Pacifica-Recette-CSP-FACTURATION,
501,Nouvelle UGS,,SIR-Production-UGS DIJON-S14,P_Oracle R12_Comptabilité Sirca-Production-Assistant UGS DIJON-S14,
577,Ce profil donne le réle UMX SIRR12_Sirca_Responsable_DIRECTION_SINISTRE contenant les responsabilit,,SIRR12_SIRCA_RESPONSABLE_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Sirca-Production-Responsable DIRECTION SINISTRE,
815,"Posséde le droit de consultation des données ce qui regroupe les trois profils de besoins au méme niveau déhabilitation : Communication APLC, Animateur consommation digitale, Reporting Pacifica et Groupe",,Utilisateur,Utilisateur Mon empreinte digital,
93,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Consultation flux Pacifica,P_DIAPASON Production - Périmétre VIAREN - Consultation flux Pacifica,
108,Périmétre VIAREN - Contréleurs,,VIAREN - Contréleurs,P_DIAPASON Production - Périmétre VIAREN - Contréleurs,
107,Périmétre VIAREN - Saisisseurs,,VIAREN - Saisisseurs,P_DIAPASON Production - Périmétre VIAREN - Saisisseurs,
94,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Signataire flux Pacifica,P_DIAPASON Production - Périmétre VIAREN - Signataire flux Pacifica,
81,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Signataires Directeur Général,P_DIAPASON Recette - Périmétre VIAREN - Signataire Directeur Général,
104,Périmétre VIAREN - Signataires Directeurs,,VIAREN - Signataires Directeurs,P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs,
105,Périmétre VIAREN - Signataires Directeurs Adjoints,,VIAREN - Signataires Directeurs Adjoints,P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs Adjoints,
103,Périmétre VIAREN - Signataires Responsables,,VIAREN - Signataires Responsables,P_DIAPASON Production - Périmétre VIAREN - Signataires Responsables,
102,Périmétre VIAREN - Signataires Validation Centrale,,VIAREN - Signataires Validation Centrale,P_DIAPASON Production - Périmétre VIAREN - Signataires Validation Centrale,
