Description,FunctionalApprover,Identifier,Name,TechnicalAdmin
Développement du rapport PIANO ANALYTICS (PWBI) en production,,GG_PACIFICA_POWERBI_PROD_TDB_PIANO ANALYTICS_DEV,Développement PIANO ANALYTICS en production,
,,GS-CA-PACIFICA-APP-IHMPartenaireTessi-Formation-RDR,IHMPartenaireTessi-Formation-Utilisation,
,,GS-CA-PACIFICA-APP-IHMPartenaireTessi-Production-RDR,IHMPartenaireTessi-Production-Utilisation,
,,GS-CA-PACIFICA-APP-IHMPartenaireTessi-Préproduction-RDR,IHMPartenaireTessi-Préproduction-Utilisation,
,,GS-CA-PACIFICA-APP-IHMPartenaireTessi-Recette-RDR,IHMPartenaireTessi-Recette-Utilisation,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-CIRM-Contributeurs,MyPlace_CIRM-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-CIRM-Encadrement,MyPlace_CIRM-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-CIRM-Proprietaires,MyPlace_CIRM-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-CIRM-Visiteurs,MyPlace_CIRM-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DCDEV-Contributeurs,MyPlace_DCDEV-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DCDEV-Encadrement,MyPlace_DCDEV-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DCDEV-Proprietaires,MyPlace_DCDEV-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DCDEV-Visiteurs,MyPlace_DCDEV-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DDP-Contributeurs,MyPlace_DDP-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DDP-Encadrement,MyPlace_DDP-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DDP-Proprietaires,MyPlace_DDP-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DDP-Visiteurs,MyPlace_DDP-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DEP-Contributeurs,MyPlace_DEP-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DEP-Encadrement,MyPlace_DEP-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DEP-Proprietaires,MyPlace_DEP-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DEP-Visiteurs,MyPlace_DEP-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DFI-Contributeurs,MyPlace_DFI-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DFI-Encadrement,MyPlace_DFI-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DFI-Proprietaires,MyPlace_DFI-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DFI-Visiteurs,MyPlace_DFI-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DGL-Contributeurs,MyPlace_DGL-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DGL-Encadrement,MyPlace_DGL-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DGL-Proprietaires,MyPlace_DGL-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DGL-Visiteurs,MyPlace_DGL-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DMAP-Contributeurs,MyPlace_DMAP-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DMAP-Encadrement,MyPlace_DMAP-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DMAP-Proprietaires,MyPlace_DMAP-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DMAP-Visiteurs,MyPlace_DMAP-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DPART-Contributeurs,MyPlace_DPART-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DPART-Encadrement,MyPlace_DPART-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DPART-Proprietaires,MyPlace_DPART-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DPART-Visiteurs,MyPlace_DPART-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSA-Contributeurs,MyPlace_DSA-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSA-Encadrement,MyPlace_DSA-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSA-Proprietaires,MyPlace_DSA-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSA-Visiteurs,MyPlace_DSA-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-Contributeurs,MyPlace_DSIN-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-Encadrement,MyPlace_DSIN-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-Proprietaires,MyPlace_DSIN-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-SIEGE,MyPlace_DSIN-SIEGE,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-Visiteurs,MyPlace_DSIN-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PG1-Contributeurs,MyPlace_PG1-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PG1-Encadrement,MyPlace_PG1-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PG1-Proprietaires,MyPlace_PG1-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PG1-Visiteurs,MyPlace_PG1-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PID-Contributeurs,MyPlace_PID-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PID-Encadrement,MyPlace_PID-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PID-Proprietaires,MyPlace_PID-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-PID-Visiteurs,MyPlace_PID-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Pacifica-Externes,MyPlace_Pacifica-Externes,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Pacifica-Internes,MyPlace_Pacifica-Internes,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-RCP-Contributeurs,MyPlace_RCP-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-RCP-Encadrement,MyPlace_RCP-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-RCP-Proprietaires,MyPlace_RCP-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-RCP-Visiteurs,MyPlace_RCP-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S01-Contributeurs,MyPlace_S01-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S01-Encadrement,MyPlace_S01-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S01-Proprietaires,MyPlace_S01-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S01-Visiteurs,MyPlace_S01-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S02-Contributeurs,MyPlace_S02-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S02-Encadrement,MyPlace_S02-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S02-Proprietaires,MyPlace_S02-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S02-Visiteurs,MyPlace_S02-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S03-Contributeurs,MyPlace_S03-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S03-Encadrement,MyPlace_S03-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S03-Proprietaires,MyPlace_S03-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S03-Visiteurs,MyPlace_S03-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S04-Contributeurs,MyPlace_S04-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S04-Encadrement,MyPlace_S04-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S04-Proprietaires,MyPlace_S04-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S04-Visiteurs,MyPlace_S04-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S05-Contributeurs,MyPlace_S05-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S05-Encadrement,MyPlace_S05-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S05-Proprietaires,MyPlace_S05-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S05-Visiteurs,MyPlace_S05-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S06-Contributeurs,MyPlace_S06-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S06-Encadrement,MyPlace_S06-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S06-Proprietaires,MyPlace_S06-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S06-Visiteurs,MyPlace_S06-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S07-Contributeurs,MyPlace_S07-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S07-Encadrement,MyPlace_S07-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S07-Proprietaires,MyPlace_S07-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S07-Visiteurs,MyPlace_S07-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S08-Contributeurs,MyPlace_S08-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S08-Encadrement,MyPlace_S08-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S08-Proprietaires,MyPlace_S08-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S08-Visiteurs,MyPlace_S08-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S09-Contributeurs,MyPlace_S09-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S09-Encadrement,MyPlace_S09-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S09-Proprietaires,MyPlace_S09-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S09-Visiteurs,MyPlace_S09-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S10-Contributeurs,MyPlace_S10-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S10-Encadrement,MyPlace_S10-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S10-Proprietaires,MyPlace_S10-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S10-Visiteurs,MyPlace_S10-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S11-Contributeurs,MyPlace_S11-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S11-Encadrement,MyPlace_S11-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S11-Proprietaires,MyPlace_S11-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S11-Visiteurs,MyPlace_S11-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S12-Contributeurs,MyPlace_S12-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S12-Encadrement,MyPlace_S12-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S12-Proprietaires,MyPlace_S12-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S12-Visiteurs,MyPlace_S12-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S13-Contributeurs,MyPlace_S13-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S13-Encadrement,MyPlace_S13-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S13-Proprietaires,MyPlace_S13-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S13-Visiteurs,MyPlace_S13-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S14-Contributeurs,MyPlace_S14-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S14-Encadrement,MyPlace_S14-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S14-Proprietaires,MyPlace_S14-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S14-Visiteurs,MyPlace_S14-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Contributeurs,MyPlace_S15-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Encadrement,MyPlace_S15-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Proprietaires,MyPlace_S15-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Propriétaires,MyPlace_S15-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Visiteurs,MyPlace_S15-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SE1-Contributeurs,MyPlace_SE1-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SE1-Encadrement,MyPlace_SE1-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SE1-Proprietaires,MyPlace_SE1-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SE1-Visiteurs,MyPlace_SE1-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SGL-Contributeurs,MyPlace_SGL-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SGL-Encadrement,MyPlace_SGL-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SGL-Proprietaires,MyPlace_SGL-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SGL-Visiteurs,MyPlace_SGL-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ1-Contributeurs,MyPlace_SJ1-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ1-Encadrement,MyPlace_SJ1-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ1-Proprietaires,MyPlace_SJ1-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ1-Visiteurs,MyPlace_SJ1-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ2-Contributeurs,MyPlace_SJ2-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ2-Encadrement,MyPlace_SJ2-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ2-Proprietaires,MyPlace_SJ2-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ2-Visiteurs,MyPlace_SJ2-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ3-Contributeurs,MyPlace_SJ3-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ3-Encadrement,MyPlace_SJ3-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ3-Proprietaires,MyPlace_SJ3-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ3-Visiteurs,MyPlace_SJ3-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ4-Contributeurs,MyPlace_SJ4-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ4-Encadrement,MyPlace_SJ4-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ4-Proprietaires,MyPlace_SJ4-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ4-Visiteurs,MyPlace_SJ4-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ5-Contributeurs,MyPlace_SJ5-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ5-Encadrement,MyPlace_SJ5-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ5-Proprietaires,MyPlace_SJ5-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ5-Visiteurs,MyPlace_SJ5-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ6-Contributeurs,MyPlace_SJ6-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ6-Encadrement,MyPlace_SJ6-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ6-Proprietaires,MyPlace_SJ6-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SJ6-Visiteurs,MyPlace_SJ6-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR1-Contributeurs,MyPlace_SR1-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR1-Encadrement,MyPlace_SR1-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR1-Proprietaires,MyPlace_SR1-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR1-Visiteurs,MyPlace_SR1-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR2-Contributeurs,MyPlace_SR2-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR2-Encadrement,MyPlace_SR2-Encadrement,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR2-Proprietaires,MyPlace_SR2-Propriétaires,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-SR2-Visiteurs,MyPlace_SR2-Visiteurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Sirca-Externes,MyPlace_Sirca-Externes,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Sirca-Internes,MyPlace_Sirca-Internes,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-VRN-Contributeurs,MyPlace_VRN-Contributeurs,
,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-VRN-Encadrement,MyPlace_VRN-Encadrement,
