Identifier;Name;Description;ApplicationIdentifier;FunctionalApprover;TechnicalAdmin
VIAREN - Contréleurs;P_DIAPASON Recette - Périmétre VIAREN - Contréleurs;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Consultation flux Pacifica;P_DIAPASON Recette - Périmétre VIAREN - Consultation flux Pacifica;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Signataires Responsables;P_DIAPASON Recette - Périmétre PACIFICA - Signataires Responsables;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Signataires Directeurs Adjoints;P_DIAPASON Recette - Périmétre PACIFICA - Signataires Directeurs Adjoints;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Signataires Directeurs;P_DIAPASON Recette - Périmétre PACIFICA - Signataires Directeurs;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Signataires Directeur Général;P_DIAPASON Recette - Périmétre PACIFICA - Signataires Directeur Général;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Saisisseurs UGO;P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs UGO;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Saisisseurs DSIN;P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs DSIN;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Saisisseurs DFI;P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs DFI;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Consultation flux Pacifica;P_DIAPASON Production - Périmétre VIAREN - Consultation flux Pacifica;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Production;;
VIAREN - Signataire flux Pacifica;P_DIAPASON Production - Périmétre VIAREN - Signataire flux Pacifica;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Production;;
PACIFICA - Signataires Validation Centrale;P_DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
PACIFICA - Saisisseurs CS;P_DIAPASON Recette - Périmétre PACIFICA - Saisisseur CS;DIAPASON Recette - Périmétre PACIFICA - Saisisseur CS;DIAPASON Recette;;
PACIFICA - Contréleurs CS Prélévements;P_DIAPASON Recette - Périmétres PACIFICA-Contréleurs CS Prélévements;Périmétres PACIFICA-Contréleurs CS Prélévements;DIAPASON Recette;;
PACIFICA - Contréleurs CS;P_DIAPASON Recette - Périmétre Pacifica - contréleur CS;DIAPASON Recette - Périmétre Pacifica - contréleur CS;DIAPASON Recette;;
Groupe Pacifica - Signataire flux Pacifica;P_DIAPASON Recette - Périmétre Groupe Pacifica - Signataires flux Pacifica;DIAPASON Recette - Périmétre Groupe Pacifica - Signataires flux Pacifica;DIAPASON Recette;;
Groupe Pacifica - Import virements manuels Pacifica;P_DIAPASON Recette - Périmétre Groupe Pacifica - Import virements manuels Pacifica;DIAPASON Recette - Périmétre Groupe Pacifica - Import virements manuels Pacifica;DIAPASON Recette;;
Groupe Pacifica - Consultation flux Pacifica;P_DIAPASON Recette - Périmétre Groupe Pacifica - Consultation flux Pacifica;DIAPASON Recette - Périmétre Groupe Pacifica - Consultation flux Pacifica;DIAPASON Recette;;
VIAREN - Signataires Validation Centrale;P_DIAPASON Production - Périmétre VIAREN - Signataires Validation Centrale;Périmétre VIAREN - Signataires Validation Centrale;DIAPASON Production;;
VIAREN - Signataires Responsables;P_DIAPASON Production - Périmétre VIAREN - Signataires Responsables;Périmétre VIAREN - Signataires Responsables;DIAPASON Production;;
VIAREN - Signataires Directeurs;P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs;Périmétre VIAREN - Signataires Directeurs;DIAPASON Production;;
VIAREN - Signataires Directeurs Adjoints;P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs Adjoints;Périmétre VIAREN - Signataires Directeurs Adjoints;DIAPASON Production;;
VIAREN - Signataires Directeur Général;P_DIAPASON Production - Périmétre VIAREN - Signataires Directeur Général;Périmétre VIAREN - Signataires Directeur Général;DIAPASON Production;;
VIAREN - Saisisseurs;P_DIAPASON Production - Périmétre VIAREN - Saisisseurs;Périmétre VIAREN - Saisisseurs;DIAPASON Production;;
VIAREN - Contréleurs;P_DIAPASON Production - Périmétre VIAREN - Contréleurs;Périmétre VIAREN - Contréleurs;DIAPASON Production;;
PACIFICA - Signataires Validation Centrale;P_DIAPASON Production - Périmétre PACIFICA - Signataires Validation Centrale;Périmétre PACIFICA - Signataires Validation Centrale;DIAPASON Production;;
PACIFICA - Signataires Responsables;P_DIAPASON Production - Périmétre PACIFICA - Signataires Responsables;P_Périmétre PACIFICA - Signataires Responsables;DIAPASON Production;;
PACIFICA - Signataires Directeurs Adjoints;P_DIAPASON Production - Périmétre PACIFICA - Signataires Directeurs Adjoints;Périmétre PACIFICA - Signataires Directeurs Adjoints;DIAPASON Production;;
PACIFICA - Signataires Directeurs;P_DIAPASON Production - Périmétre PACIFICA - Signataires Directeurs;Périmétre PACIFICA - Signataires Directeurs;DIAPASON Production;;
PACIFICA - Signataires Directeur Général;P_DIAPASON Production - Périmétre PACIFICA - Signataires Directeur Général;Périmétre PACIFICA - Signataires Directeur Général;DIAPASON Production;;
PACIFICA - Saisisseurs UGO;P_DIAPASON Production - Périmétre PACIFICA - Saisisseurs UGO;Nouveau profil de saisisseur de virement manuel dans DIAPASON. ;DIAPASON Production;;
PACIFICA - Saisisseurs DSIN;P_DIAPASON Production - Périmétre PACIFICA - Saisisseurs DSIN;Périmétre PACIFICA - Saisisseurs DSIN;DIAPASON Production;;
PACIFICA - Saisisseurs DFI;P_DIAPASON Production - Périmétre PACIFICA - Saisisseurs DFI;Périmétre PACIFICA - Saisisseurs DFI;DIAPASON Production;;
PACIFICA - Saisisseurs CS;P_DIAPASON Production - Périmétre PACIFICA - Saisisseurs CS;Périmétre PACIFICA - Saisisseurs CS;DIAPASON Production;;
PACIFICA - Contréleurs CS;P_DIAPASON Production - Périmétre PACIFICA é Contréleurs CS;Périmétre PACIFICA - Contréleurs CS;DIAPASON Production;;
Groupe Pacifica - Signataire flux Pacifica;P_DIAPASON Production - Périmétre Groupe Pacifica - Signataire flux Pacifica;Périmétre Groupe Pacifica - Signataire flux Pacifica;DIAPASON Production;;
Groupe Pacifica - Import virements manuels Pacifica;P_DIAPASON Production - Périmétre Groupe Pacifica - Import virements manuels Pacifica;Périmétre Groupe Pacifica - Import virements manuels Pacifica;DIAPASON Production;;
Groupe Pacifica - Consultation flux Pacifica;P_DIAPASON Production - Périmétre Groupe Pacifica - Consultation flux Pacifica;Périmétre Groupe Pacifica - consultation flux Pacifica;DIAPASON Production;;
G_Qlik_DIPTPU;Indicateurs Individuels UGP Cie (DIPTPU);Accès au portail Indicateurs Individuels UGP Cie;Décisionnel - QlikView;;
G_OSIRIS_CAA_MoyensGeneraux;OSIRIS_CAA_MoyensGeneraux;;Osiris;;
AlpagaPortailCR_Administrateur;AlpagaPortailCR_Administrateur;Profil technique - Dispose d'une autorisation compléte pour administrer l'environnement, notamment pour vider le cache internet.;AlpagaPortailCR;;
AlpagaPortailCR_Prévention;AlpagaPortailCR_Prévention;Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif (appelé é réle Web é dans Microsoft Power Pages) est paramétré par l'Administrateur systéme d'Alpaga.;AlpagaPortailCR;;
Alpaga_Chargé_Prévention;Alpaga_Chargé_Prévention;Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif (appelé é réle de sécurité é dans Microsoft Power Apps) est paramétré par l'Administrateur systéme.;Alpaga;;
Alpaga_System_Customizer;Alpaga_System_Customizer;Profil technique - Dispose d'une autorisation compléte pour personnaliser l'environnement. Peut visualiser toutes les données des tables personnalisées dans l'environnement. Cependant, les utilisateurs dotés de ce réle ne peuvent qu'afficher les enregistrements qu'ils créent dans les tables Compte, Contact et Activité.;Alpaga;;
Alpaga_Environment_Maker;Alpaga_Environment_Maker;Profil technique - Peut créer des ressources associées é un environnement, incluant des applications, des connexions, des API personnalisées, des passerelles, et des flux. Cependant, ce réle ne dispose d'aucun privilége pour Accèder aux données d'un environnement.;Alpaga;;
Alpaga_Administrateur_Systéme ;Alpaga_Administrateur_Systéme ;Profil technique - Dispose d'une autorisation compléte pour personnaliser ou administrer l'environnement, notamment pour créer, modifier et attribuer des réles de sécurité. Peut afficher toutes les données de l'environnement.;Alpaga;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-DSIN-SIEGE;MyPlace_DSIN-SIEGE;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Visiteurs;MyPlace_S15-Visiteurs;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Propriétaires;MyPlace_S15-Propriétaires;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Encadrement;MyPlace_S15-Encadrement;;MyPlace_CAA;;
Réclamations_Administrateur;Réclamations_Administrateur;Profil technique - Dispose d'une autorisation compléte pour personnaliser ou administrer l'environnement, notamment pour créer, modifier et attribuer des profils. Peut afficher toutes les données de l'environnement.;Réclamations;;
Réclamations_Chargé;Réclamations_Chargé;Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif est paramétré par l'Administrateur systéme.;Réclamations;;
Réclamations_Chatter;Réclamations_Chatter;Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif est paramétré par l'Administrateur systéme.;Réclamations;;
Réclamations_Responsable;Réclamations_Responsable;Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif est paramétré par l'Administrateur systéme.;Réclamations;;
Réclamations_Read_Only;Réclamations_Read_Only;Profil Métier é Dispose d'une autorisation pour visualiser uniquement les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif est paramétré par l'Administrateur systéme.;Réclamations;;
G_DEC_INFOC_reassurance;Usage DPART - Réassurance (Pacifica en tant que Réassureur ou co-réassureur);PCK-RDT-BX;Décisionnel - Infocentre;;
G_DEC_INFOC_SUIV_PTF_CLI_DPART;Usage DPART - Suivi des portefeuilles clients;PCK-RDT-CC;Décisionnel - Infocentre;;
G_DEC_INFOC_analy_rentabil_distrib;Usage DPART - Analyse et rentabilité des distributeurs;PCK-RDT-BH;Décisionnel - Infocentre;;
G_DEC_INFOC_placem_prog_reass_pck;Usage DPART - Assurer le placement du progamme de réassurance de Pacifica;PCK-RDT-BI;Décisionnel - Infocentre;;
G_DEC_INFOC_Concep_prod_actua_dpart;Usage DPART - Conception des produits d'assurance actuariat DPART;PCK-RDT-E;Décisionnel - Infocentre;;
G_DEC_INFOC_Tdb_dest_franc_assur;Usage DPART - Elaboration des TDB agrégés é destination de France assureurs;PCK-RDT-BG;Décisionnel - Infocentre;;
FCCS SIRCA-Recette-Visualiseur;FCCS SIRCA-Recette-Visualiseur;;FCCS;;
FCCS SIRCA-Recette-Utilisateur;FCCS SIRCA-Recette-Utilisateur;;FCCS;;
FCCS SIRCA-Recette-Superutilisateur;FCCS SIRCA-Recette-Superutilisateur;;FCCS;;
FCCS SIRCA-Production-Visualiseur;FCCS SIRCA-Production-Visualiseur;;FCCS;;
FCCS SIRCA-Production-Utilisateur;FCCS SIRCA-Production-Utilisateur;;FCCS;;
FCCS SIRCA-Production-Superutilisateur;FCCS SIRCA-Production-Superutilisateur;;FCCS;;
FCCS PACIFICA-Recette-Visualiseur;FCCS PACIFICA-Recette-Visualiseur;;FCCS;;
FCCS PACIFICA-Recette-Utilisateur;FCCS PACIFICA-Recette-Utilisateur;;FCCS;;
FCCS PACIFICA-Recette-Superutilisateur;FCCS PACIFICA-Recette-Superutilisateur;;FCCS;;
FCCS PACIFICA-Production-Visualiseur;FCCS PACIFICA-Production-Visualiseur;;FCCS;;
FCCS PACIFICA-Production-Utilisateur;FCCS PACIFICA-Production-Utilisateur;;FCCS;;
FCCS PACIFICA-Production-Superutilisateur;FCCS PACIFICA-Production-Superutilisateur;;FCCS;;
G_OSIRIS_RS3C_CAPDEV;OSIRIS_CAAS_DT_RS3C_CAPDEV;;Osiris;;
G_OSIRIS_RS3C_CAPSTD;OSIRIS_CAAS_DT_RS3C_CAPSTD;;Osiris;;
GS_PACIFICA_PEOPLEASSIST;PeopleAssist utilisateur;;PeopleAssist;;
GS_POWERBI_TDB_PCK_DSIN_DEV;Accès au développement du rapport DSIN;Accès é la consultation du rapport DSIN;DSIN - PowerBI;;
GS_POWERBI_TDB_PCK_DSIN_READER;Accès é la consultation du rapport DSIN;Accès é la consultation du rapport DSIN;DSIN - PowerBI;;
GS_POWERBI_TDB_PCK_DSIN_PUBLISHER;Accès é la publication du rapport DSIN;Accès é la publication du rapport DSIN;DSIN - PowerBI;;
